id lens
2 2010;3057;3538;3538;3057;3538;3538;3538;3488;4036;3428;3538;3538;3538;3538;3488;3538;4100;4036;3488;4036;3538;4036;3986;4100;3538;2542;3040;4036;3986;4036;3538;4036;3488;4100;3030;3057;3538;4100;4100;3538;4036;3538;4100;3538;3538;4036;3986;3538;2727;3538;4036;3538;4036;3986;3538;3538;3538;3488;4036;3538;4036;4100;3538;3538;2542;3057;3538;3538;3538;3538;4036;3538;3488;3538;3538;3538;3488;4100;3538;2740;3057;3538;3538;3538;3986;3538;4100;3538;3488;3057;3538;3538;4036;3488;4036;3538;3538;3038;3538;3538;3538;3538;3488;3040;3538;4036;3488
2 2004;3187;3538;3187;3145;3188;3538;9016;3488;3538;3786;3171;4036;4036;3538;4100;3578;3538;3040;3538;4100;3488;3538;4036;4036;3538;3538;4036;3538;3488;4100;4036;3538;4100;3538;2690;3538;5032;3538;3986;3538;3538;4036;4100;2926;3538;4036;2542;3488;4100;3538;3538;3538;3538;2990;3538;4036;3538;2990;3538;3538;4100;3474;3488;4036;2542;3538;4036;3311;2690;4036;3538;4036;3488;3538;3538;4036;3488;3538;4036;3162;3538;3538;4036;3538;3986;3538;3538;4100;3057;3538;3538;3538;3488;4036;3057;4036;2957;2559;3538;3538;4036;3986;4100;3538;4036;3986
2 2012;3538;3538;3538;2840;3538;3538;3538;3040;3488;3040;3057;3538;3538;3538;3538;3538;3488;3538;3538;4036;3488;3538;3188;3538;3538;4036;3538;3538;3040;3538;3538;3538;3040;3538;3040;3488;3538;3538;3488;3538;3538;3040;3488;3538;3057;3538;3538;3538;3488;3538;3538;3538;3538;3538;3538;3488;3538;3040;2608;3538;3538;3293;3538;3538;3538;3538;3488;3538;3538;3040;3488;3538;3538;3538;3538;11456;3538;3538;3538;3538;3538;3538;3538;3488;3538;2951;3538;3538;3037;3538;3538;3538;3538;3488;3538;2542;3538;4036;2701
2 2004;3057;3538;3538;2767;3538;3538;3538;3538;3986;4036;3538;3538;4036;3538;3538;4100;4036;4036;3538;4100;3538;3538;3986;3538;7522;4036;3538;3986;4036;3538;3538;3488;4036;4100;27840;3538;4036;4036;2990;3538;3057;3538;27840;3538;4100;4036;3488;3538;4036;3088;2690;3538;3538;3538;3538;3538;4100;3986;3538;3538;4100;3488;4036;3538;2831;3057;4036;15440;3538;3538;3986;3057;3538;16934;3538;3538;3473;11008;4036;3488;4100;4036;4036;3488
2 2018;3538;3538;3057;2858;3040;3538;3040;4036;3488;3538;3538;3057;3538;3538;3538;3488;3538;3538;3538;3488;3538;3538;4036;3488;3538;2623;11506;3538;3488;3538;3538;3538;3488;3538;3057;16934;3538;3538;4100;3538;4100;2976;3538;4100;2542;3538;3538;3538;2990;4036;3040;3538;3488;3538;3538;4036;4100;3424;3538;3538;3538;3538;3538;3538;31326;4036;3057;3538;24404;2999;3538;3538;3538;3488;3538;2690;3538;4383;2690;3538;11954;3538;3538;4036;3061
2 2008;3538;3538;3057;2542;3538;5032;3538;3986;3538;3538;3538;3538;3538;4036;3986;3538;3538;3538;3986;4036;4100;3538;3538;4100;3057;6526;3538;3488;4036;3538;3538;3986;4036;3057;3538;4036;3538;3488;3538;4036;4036;3488;3040;3538;3538;4100;3488;3057;3538;4036;3538;3488;4036;4036;4036;3488;3040;3538;3538;3488;3538;3538;3057;2542;2840;3538;3538;3538;3538;3488;4036;3538;3538;3488;3538;4036;2690;3538;3538;4036;3986;4100;3040;3538;3986;2559;3538;3538;4100;3040;2934;2542;3040;3527;3057;4100;7956;3488;3538;4036;4036;2990
2 2002;3538;3538;3538;3538;4036;3538;4036;3488;3538;3917;3538;3538;3538;4036;3986;4100;3474;4036;4100;3538;4036;3538;4100;3538;3538;3538;3040;3488;4036;4100;4036;3488;2542;3538;3538;3538;3538;3538;3488;3538;4036;3538;4100;2926;3538;3538;4036;3538;4100;3538;4036;3538;4036;3488;3538;4036;4036;4100;4100;3538;4036;4100;3538;3538;3057;3538;4316;3057;3538;15440;3538;3538;3488;3538;4036;10510;4036;3488;4100;3538;4100;3488;7522;3538;4100;3424;4036;2889;3538;4036;2880;3057;3538;21416;2542;3488
2 2018;3538;3538;3538;2784;3057;14942;3538;4100;3538;3538;3538;4036;3538;4036;3040;3538;3986;4036;4100;3538;3986;3147;3538;3538;3538;3538;3488;3538;4100;3538;4036;3538;3538;3538;3488;2542;3040;3538;3488;3538;3538;3538;3488;3538;3538;3538;3538;3040;3488;3040;4100;3538;4100;4100;3474;4036;4100;3538;2542;3538;2542;3282;3538;3538;3538;4036;3488;3538;4100;2542;2990;3538;3538;3538;3538;4036;4036;3488;3538;3538;3538;3488;3538;3538;3538;3538;3488;3538;3188;3538;2880;3538;3538;3538;3538;3488;3538;3040;3538;3488
2 2016;3538;3538;3538;2849;3538;3538;3538;3538;3538;3538;3538;3538;3538;3488;3538;3538;3538;3488;3538;4036;3040;3538;3488;3157;3057;3538;3538;3538;3488;3538;3538;3488;3538;3538;3538;3538;3538;2990;3538;3040;3538;3488;4036;3538;3538;3488;3538;7024;3538;3040;3986;3538;3538;3538;3488;3538;4036;3538;3538;3040;3532;3538;3040;3320;3538;2542;2542;2542;3488;2542;3538;2542;3488;3538;3040;3153;3538;4036;3538;3538;3538;3538;2542;3538;3040;3538;3538;3538;3538;2990;3538;3188;3538;3333;3538;3538;3538;3538;3488;3538;3040;3040;3538
2 2012;3538;3538;3538;2849;7522;3538;3538;3488;2542;3401;3538;3538;3538;3538;3488;3538;3538;4100;2926;3538;3538;3538;3488;3538;3057;3538;3538;4100;3424;3538;3538;4036;4100;3922;3538;3538;3538;3538;3488;3538;4036;3040;3488;4100;3538;3538;3986;3538;4100;3538;3538;3538;3538;3538;3538;2542;3538;4100;3538;4100;2990;4100;6462;3538;3538;3538;3057;3538;3538;2542;3488;3538;4100;3538;3986;4036;3538;3238;3538;4036;3538;3538;3488;4100;3538;4036;3488;3538;3538;3538;3538;3986;4036;3057;3538;3011;3538;3538;3538;3538;3488;4036;3538;3538;3488
